,TTA,Cabang/Site,Umur,Level,Dev,JI,JNI,JobRotation
264,SGT,Site,Produktif2,Junior,Underload,Underload,Underload,yes
265,JKT,Cabang,Produktif1,Junior,Underload,Underload,Overload,no
266,JKT,Cabang,Produktif1,Junior,Normal,Normal,Overload,yes
267,JKT,Cabang,Produktif2,Junior,Underload,Overload,Overload,yes
268,SGT,Site,Produktif1,Junior,Underload,Overload,Normal,no
269,SGT,Site,Produktif2,Junior,Normal,Overload,Normal,yes
270,SGT,Site,Produktif2,Senior,Normal,Overload,Overload,yes
271,TJE,Site,Produktif1,Junior,Normal,Normal,Overload,yes
272,TJE,Site,Produktif1,Junior,Normal,Overload,Overload,yes
273,TJE,Site,Produktif2,Senior,Underload,Overload,Overload,yes
274,BJM,Cabang,Produktif2,Senior,Underload,Underload,Underload,yes
275,PKB,Cabang,Produktif4,Senior,Underload,Normal,Normal,no
276,PKB,Cabang,Produktif4,Senior,Underload,Overload,Overload,yes
277,PKB,Cabang,Produktif4,Senior,Underload,Normal,Overload,no
278,UPG,Cabang,Produktif3,Senior,Normal,Overload,Overload,yes
279,UPG,Cabang,Produktif3,Senior,Normal,Overload,Overload,yes
280,UPG,Cabang,Produktif3,Senior,Underload,Overload,Overload,yes
281,JKT,Cabang,Produktif3,Senior,Underload,Underload,Overload,no
282,JKT,Cabang,Produktif3,Senior,Overload,Underload,Overload,no
283,JKT,Cabang,Produktif3,Senior,Overload,Normal,Overload,no
284,JKT,Cabang,Produktif3,Senior,Underload,Normal,Overload,yes
285,JKT,Cabang,Produktif3,Senior,Normal,Normal,Overload,yes
286,JKT,Cabang,Produktif3,Senior,Underload,Overload,Overload,yes
287,BLP,Cabang,Produktif2,Senior,Normal,Underload,Overload,no
288,BLP,Cabang,Produktif2,Senior,Overload,Normal,Overload,yes
289,BLP,Cabang,Produktif2,Senior,Underload,Underload,Underload,yes
290,BJM,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
291,BJM,Cabang,Produktif2,Senior,Normal,Normal,Overload,yes
292,BJM,Cabang,Produktif2,Senior,Underload,Normal,Overload,yes
293,BLP,Cabang,Produktif2,Senior,Underload,Underload,Overload,no
294,BLP,Cabang,Produktif2,Senior,Overload,Overload,Overload,yes
295,BLP,Cabang,Produktif2,Senior,Underload,Normal,Normal,no
296,SMD,Cabang,Produktif3,Senior,Underload,Underload,Overload,no
297,SMD,Cabang,Produktif3,Senior,Normal,Overload,Overload,yes
298,SMD,Cabang,Produktif3,Senior,Normal,Overload,Overload,yes
299,ADR,Site,Produktif2,Senior,Underload,Overload,Overload,yes
300,ADR,Site,Produktif2,Senior,Normal,Overload,Overload,yes
301,ADR,Site,Produktif2,Senior,Normal,Overload,Overload,yes
302,SMD,Cabang,Produktif2,Senior,Overload,Underload,Overload,no
303,SMD,Cabang,Produktif2,Senior,Overload,Normal,Overload,yes
304,SMD,Cabang,Produktif2,Senior,Normal,Normal,Overload,yes
305,SMD,Cabang,Produktif3,Junior,Underload,Underload,Overload,no
306,SMD,Cabang,Produktif3,Junior,Overload,Overload,Overload,yes
307,SMD,Cabang,Produktif3,Junior,Overload,Overload,Overload,yes
